x_m,y_m,w_tr_right_m,w_tr_left_m
1.680903,-4.619021,1.5197,1.5197
1.736227,-4.623181,1.5098,1.5098
1.791922,-4.625915,1.5000,1.5000
1.846935,-4.627216,1.5000,1.5000
1.902068,-4.627079,1.5000,1.5000
1.958123,-4.625508,1.5098,1.5098
2.014047,-4.622512,1.5197,1.5197
2.068790,-4.618104,1.5295,1.5295
2.123154,-4.612304,1.5394,1.5394
2.176955,-4.605138,1.5492,1.5492
2.230008,-4.596636,1.5091,1.5091
2.281260,-4.586836,1.5189,1.5189
2.332495,-4.575780,1.5288,1.5288
2.382657,-4.563515,1.5386,1.5386
2.431565,-4.550096,1.5484,1.5484
2.480018,-4.535582,1.5083,1.5083
2.527080,-4.520037,1.5181,1.5181
2.573669,-4.503533,1.5280,1.5280
2.619722,-4.486145,1.4980,1.4980
2.665177,-4.467956,1.5280,1.5280
2.709978,-4.448068,1.4980,1.4980
2.753199,-4.426458,1.5281,1.5281
2.795769,-4.404089,1.5281,1.5281
2.837636,-4.380074,1.5184,1.5184
2.878751,-4.354403,1.5486,1.5486
2.919066,-4.327064,1.5389,1.5389
2.957669,-4.299034,1.5292,1.5292
2.995500,-4.269444,1.5292,1.5292
3.032517,-4.238293,1.5195,1.5195
3.068684,-4.205586,1.5497,1.5497
3.103964,-4.172315,1.5400,1.5400
3.137454,-4.137623,1.5098,1.5098
3.170108,-4.101524,1.5181,1.5181
3.201894,-4.064037,1.4780,1.4780
3.232788,-4.025184,1.4980,1.4980
3.261893,-3.985973,1.4583,1.4583
3.290171,-3.945563,1.4681,1.4681
3.317601,-3.903986,1.4181,1.4181
3.344164,-3.861279,1.4280,1.4280
3.369845,-3.817480,1.3984,1.3984
3.393761,-3.772628,1.4083,1.4083
3.416883,-3.726769,1.3681,1.3681
3.439202,-3.680933,1.3788,1.3788
3.460711,-3.634302,1.3386,1.3386
3.480535,-3.586931,1.3484,1.3484
3.499655,-3.538879,1.3583,1.3583
3.518069,-3.490205,1.3181,1.3181
3.535779,-3.440974,1.3386,1.3386
3.552788,-3.391252,1.2984,1.2984
3.568234,-3.341108,1.3083,1.3083
3.583109,-3.290614,1.3181,1.3181
3.597422,-3.238861,1.3181,1.3181
3.611186,-3.186792,1.2984,1.2984
3.623546,-3.134487,1.3083,1.3083
3.635503,-3.082026,1.3083,1.3083
3.647074,-3.029491,1.2984,1.2984
3.658282,-2.976969,1.2886,1.2886
3.668279,-2.923565,1.2984,1.2984
3.678075,-2.870237,1.3083,1.3083
3.687695,-2.817078,1.2984,1.2984
3.696301,-2.764181,1.2886,1.2886
3.704905,-2.711645,1.2984,1.2984
3.713541,-2.658585,1.3083,1.3083
3.722243,-2.605971,1.3083,1.3083
3.730180,-2.553907,1.2984,1.2984
3.738374,-2.502499,1.2886,1.2886
3.746867,-2.450870,1.2788,1.2788
3.754831,-2.400000,1.3083,1.3083
3.763296,-2.350000,1.3083,1.3083
3.772307,-2.300000,1.2984,1.2984
3.781044,-2.250000,1.2886,1.2886
3.790542,-2.200000,1.2788,1.2788
3.799867,-2.150000,1.2689,1.2689
3.809072,-2.100000,1.3083,1.3083
3.819194,-2.050000,1.2984,1.2984
3.828432,-2.000000,1.2886,1.2886
3.838695,-1.950000,1.2788,1.2788
3.849053,-1.900000,1.2689,1.2689
3.858576,-1.850000,1.3083,1.3083
3.869171,-1.800000,1.2984,1.2984
3.879038,-1.750000,1.2886,1.2886
3.890085,-1.700000,1.2788,1.2788
3.900511,-1.650000,1.3181,1.3181
3.911240,-1.600000,1.3083,1.3083
3.922323,-1.550000,1.2984,1.2984
3.933813,-1.500000,1.2886,1.2886
3.944777,-1.450000,1.2783,1.2783
3.956135,-1.400000,1.3083,1.3083
3.967937,-1.350000,1.2984,1.2984
3.980231,-1.300000,1.2886,1.2886
3.992084,-1.250000,1.2788,1.2788
4.003540,-1.200000,1.3181,1.3181
4.016499,-1.150000,1.3083,1.3083
4.029153,-1.100000,1.2984,1.2984
4.041546,-1.050000,1.2886,1.2886
4.053718,-1.000000,1.3181,1.3181
4.066577,-0.950000,1.3083,1.3083
4.080163,-0.900000,1.2984,1.2984
4.093642,-0.850000,1.2886,1.2886
4.107050,-0.800000,1.3288,1.3288
4.120420,-0.750000,1.3181,1.3181
4.133782,-0.699130,1.2984,1.2984
4.148145,-0.648371,1.2886,1.2886
4.162668,-0.597721,1.3181,1.3181
4.177375,-0.546307,1.3083,1.3083
4.192286,-0.495108,1.2984,1.2984
4.207419,-0.444117,1.3386,1.3386
4.223776,-0.392460,1.3181,1.3181
4.240501,-0.341112,1.3083,1.3083
4.257607,-0.289195,1.3483,1.3483
4.275103,-0.237681,1.3181,1.3181
4.292998,-0.185690,1.3083,1.3083
4.312279,-0.134192,1.3484,1.3484
4.332081,-0.082302,1.3386,1.3386
4.352406,-0.030989,1.3681,1.3681
4.373251,0.020636,1.3583,1.3583
4.395597,0.072477,1.3483,1.3483
4.418570,0.123572,1.3681,1.3681
4.442162,0.174814,1.3583,1.3583
4.466365,0.225245,1.3881,1.3881
4.491164,0.275759,1.3681,1.3681
4.517529,0.325400,1.4083,1.4083
4.544575,0.375067,1.3881,1.3881
4.572283,0.424676,1.4181,1.4181
4.600631,0.474148,1.4280,1.4280
4.630581,0.522533,1.4181,1.4181
4.661238,0.570739,1.4484,1.4484
4.692576,0.618692,1.4280,1.4280
4.724564,0.665448,1.4581,1.4581
4.757170,0.711921,1.4581,1.4581
4.791344,0.758041,1.4581,1.4581
4.826180,0.803742,1.4780,1.4780
4.861640,0.848090,1.4388,1.4388
4.897682,0.892007,1.4689,1.4689
4.935249,0.934560,1.4592,1.4592
4.973425,0.976675,1.4495,1.4495
5.012164,1.018293,1.4398,1.4398
5.051417,1.059359,1.4398,1.4398
5.092116,1.098951,1.4398,1.4398
5.133338,1.138001,1.4398,1.4398
5.175030,1.176459,1.4398,1.4398
5.218116,1.214280,1.4398,1.4398
5.261669,1.251418,1.4495,1.4495
5.305629,1.286964,1.4194,1.4194
5.349932,1.321861,1.4592,1.4592
5.395495,1.356070,1.4689,1.4689
5.441384,1.389556,1.4388,1.4388
5.487527,1.421417,1.4484,1.4484
5.534838,1.452605,1.4581,1.4581
5.582375,1.483090,1.4280,1.4280
5.630063,1.512845,1.4484,1.4484
5.678809,1.540976,1.4183,1.4183
5.727664,1.568444,1.4280,1.4280
5.776549,1.595227,1.4181,1.4181
5.826364,1.621307,1.4280,1.4280
5.876156,1.645798,1.4181,1.4181
5.926824,1.669670,1.4280,1.4280
5.977411,1.692910,1.4181,1.4181
6.027829,1.715507,1.4581,1.4581
6.078969,1.737455,1.4280,1.4280
6.129871,1.757879,1.4581,1.4581
6.181423,1.777760,1.4280,1.4280
6.232662,1.797096,1.4181,1.4181
6.284474,1.815889,1.4581,1.4581
6.335892,1.834143,1.4280,1.4280
6.387800,1.851864,1.4581,1.4581
6.439227,1.868193,1.4581,1.4581
6.491055,1.884125,1.4280,1.4280
6.542312,1.899671,1.4181,1.4181
6.593874,1.914847,1.4583,1.4583
6.644767,1.929672,1.4484,1.4484
6.695866,1.944167,1.4280,1.4280
6.747177,1.958356,1.4681,1.4681
6.797721,1.971395,1.4583,1.4583
6.848371,1.984296,1.4484,1.4484
6.899130,1.997088,1.4280,1.4280
6.950000,2.009805,1.4681,1.4681
7.000000,2.022481,1.4583,1.4583
7.050000,2.035155,1.4484,1.4484
7.100000,2.046996,1.4280,1.4280
7.150000,2.059032,1.4681,1.4681
7.200000,2.071305,1.4583,1.4583
7.250000,2.082878,1.4484,1.4484
7.300000,2.094666,1.4386,1.4386
7.350000,2.106721,1.4780,1.4780
7.400000,2.118109,1.4681,1.4681
7.450000,2.128883,1.4583,1.4583
7.500000,2.140080,1.4484,1.4484
7.550000,2.150769,1.4780,1.4780
7.600000,2.161877,1.4780,1.4780
7.650000,2.172476,1.4681,1.4681
7.700000,2.183495,1.4583,1.4583
7.750000,2.193140,1.4484,1.4484
7.800000,2.203323,1.4780,1.4780
7.850000,2.213121,1.4780,1.4780
7.900000,2.223463,1.4681,1.4681
7.950000,2.233431,1.4583,1.4583
8.000000,2.242972,1.4484,1.4484
8.050000,2.253020,1.4788,1.4788
8.100000,2.261787,1.4780,1.4780
8.150000,2.271191,1.4681,1.4681
8.200000,2.280314,1.4583,1.4583
8.250000,2.290093,1.4484,1.4484
8.300000,2.299611,1.4386,1.4386
8.350000,2.308825,1.4788,1.4788
8.400000,2.317689,1.4689,1.4689
8.450000,2.326271,1.4591,1.4591
8.500000,2.334642,1.4492,1.4492
8.550000,2.342756,1.4394,1.4394
8.600000,2.351552,1.4598,1.4598
8.650000,2.360118,1.4697,1.4697
8.700000,2.368411,1.4598,1.4598
8.750000,2.376390,1.4500,1.4500
8.800000,2.384995,1.4500,1.4500
8.850000,2.392449,1.4492,1.4492
8.900000,2.400676,1.4598,1.4598
8.950000,2.408768,1.4697,1.4697
9.000000,2.416684,1.4697,1.4697
9.050000,2.424386,1.4598,1.4598
9.100000,2.432818,1.4500,1.4500
9.150000,2.440204,1.4492,1.4492
9.200000,2.447488,1.4394,1.4394
9.250000,2.454631,1.4500,1.4500
9.300000,2.461593,1.4598,1.4598
9.350000,2.469319,1.4598,1.4598
9.400000,2.476903,1.4500,1.4500
9.450000,2.483437,1.4492,1.4492
9.500000,2.489867,1.4394,1.4394
9.550000,2.497137,1.4295,1.4295
9.600000,2.504341,1.4500,1.4500
9.650000,2.511441,1.4500,1.4500
9.700000,2.518402,1.4500,1.4500
9.750000,2.526171,1.4500,1.4500
9.800000,2.532974,1.4492,1.4492
9.850000,2.539758,1.4394,1.4394
9.900000,2.546487,1.4295,1.4295
9.950000,2.554110,1.4492,1.4492
10.000000,2.561720,1.4500,1.4500
10.050000,2.569286,1.4500,1.4500
10.100000,2.576772,1.4500,1.4500
10.150000,2.584146,1.4492,1.4492
10.200000,2.592357,1.4394,1.4394
10.250000,2.600505,1.4197,1.4197
10.300000,2.607688,1.4295,1.4295
10.350000,2.614856,1.4394,1.4394
10.400000,2.621977,1.4492,1.4492
10.450000,2.629016,1.4500,1.4500
10.500000,2.636924,1.4492,1.4492
10.550000,2.643928,1.4394,1.4394
10.600000,2.650981,1.4000,1.4000
10.650000,2.658049,1.4098,1.4098
10.700000,2.665096,1.4197,1.4197
10.750000,2.671219,1.4295,1.4295
10.800000,2.677367,1.4394,1.4394
10.850000,2.684486,1.4394,1.4394
10.900000,2.691673,1.4295,1.4295
10.950000,2.698894,1.4197,1.4197
11.000000,2.706115,1.4000,1.4000
11.050000,2.713302,1.4000,1.4000
11.100000,2.719552,1.4000,1.4000
11.150000,2.726795,1.4000,1.4000
11.200000,2.734129,1.4098,1.4098
11.250000,2.740650,1.4197,1.4197
11.300000,2.747304,1.4197,1.4197
11.350000,2.754056,1.3894,1.3894
11.400000,2.760869,1.3992,1.3992
11.450000,2.766835,1.4000,1.4000
11.500000,2.773885,1.4000,1.4000
11.550000,2.780241,1.4000,1.4000
11.600000,2.785979,1.4000,1.4000
11.650000,2.792039,1.4098,1.4098
11.700000,2.798381,1.4098,1.4098
11.750000,2.804091,1.3795,1.3795
11.800000,2.811094,1.3894,1.3894
11.850000,2.817607,1.3992,1.3992
11.900000,2.823698,1.4000,1.4000
11.950000,2.830305,1.4000,1.4000
12.000000,2.836509,1.4098,1.4098
12.050000,2.842373,1.4098,1.4098
12.100000,2.848830,1.4000,1.4000
12.150000,2.855939,1.3894,1.3894
12.200870,2.862891,1.4091,1.4091
12.251629,2.869743,1.4189,1.4189
12.302279,2.876552,1.4098,1.4098
12.353693,2.883369,1.4000,1.4000
12.404892,2.890243,1.3984,1.3984
12.455883,2.897222,1.3886,1.3886
12.507540,2.905333,1.4181,1.4181
12.559758,2.913751,1.4189,1.4189
12.612434,2.922515,1.4091,1.4091
12.664597,2.931665,1.3992,1.3992
12.717132,2.941235,1.3894,1.3894
12.769942,2.951258,1.4280,1.4280
12.822931,2.961764,1.4197,1.4197
12.875137,2.972779,1.4098,1.4098
12.927454,2.985313,1.4000,1.4000
12.979793,2.998518,1.3984,1.3984
13.032066,3.012416,1.4386,1.4386
13.083322,3.027026,1.4280,1.4280
13.134461,3.042363,1.4181,1.4181
13.185402,3.058439,1.4581,1.4581
13.236068,3.076250,1.4484,1.4484
13.286385,3.094934,1.4280,1.4280
13.335409,3.114499,1.4581,1.4581
13.384054,3.134950,1.4583,1.4583
13.432249,3.156286,1.4581,1.4581
13.479930,3.178508,1.4780,1.4780
13.527032,3.202596,1.4581,1.4581
13.573495,3.227674,1.4780,1.4780
13.618390,3.253736,1.4581,1.4581
13.662644,3.280773,1.4883,1.4883
13.706203,3.308771,1.4780,1.4780
13.749013,3.337714,1.4780,1.4780
13.791026,3.367585,1.4581,1.4581
13.832195,3.399347,1.4883,1.4883
13.872475,3.432109,1.4786,1.4786
13.910957,3.465846,1.4689,1.4689
13.948583,3.500531,1.4291,1.4291
13.985316,3.536136,1.4592,1.4592
14.021990,3.572627,1.4495,1.4495
14.057590,3.609969,1.4398,1.4398
14.092092,3.648125,1.4398,1.4398
14.125469,3.687052,1.4398,1.4398
14.157701,3.726708,1.4495,1.4495
14.188771,3.768030,1.4194,1.4194
14.219531,3.810102,1.4291,1.4291
14.248988,3.852874,1.3989,1.3989
14.277136,3.896294,1.4388,1.4388
14.303968,3.940307,1.4484,1.4484
14.329485,3.985839,1.4183,1.4183
14.354558,4.031962,1.4280,1.4280
14.378209,4.078616,1.4086,1.4086
14.400448,4.125738,1.4183,1.4183
14.421288,4.174244,1.3881,1.3881
14.440745,4.223199,1.3681,1.3681
14.459706,4.272534,1.3881,1.3881
14.477212,4.322177,1.3681,1.3681
14.494159,4.372052,1.3583,1.3583
14.509595,4.422082,1.3984,1.3984
14.524427,4.472187,1.3886,1.3886
14.537709,4.523267,1.3788,1.3788
14.550356,4.574370,1.4189,1.4189
14.562304,4.625409,1.4091,1.4091
14.573493,4.677280,1.3992,1.3992
14.583868,4.729024,1.3894,1.3894
14.593383,4.781418,1.3795,1.3795
14.601995,4.833387,1.4197,1.4197
14.609667,4.885821,1.4098,1.4098
14.616367,4.938624,1.4000,1.4000
14.622072,4.991703,1.4000,1.4000
14.626760,5.045077,1.4000,1.4000
14.630418,5.098652,1.4000,1.4000
14.633037,5.151348,1.4098,1.4098
14.634615,5.204923,1.4197,1.4197
14.635154,5.257427,1.4295,1.4295
14.634662,5.309747,1.4394,1.4394
14.633155,5.362771,1.4492,1.4492
14.630651,5.415419,1.4591,1.4591
14.627176,5.467597,1.4689,1.4689
14.622761,5.520195,1.4788,1.4788
14.617443,5.572136,1.4886,1.4886
14.611264,5.623329,1.4984,1.4984
14.603288,5.674666,1.5083,1.5083
14.594435,5.726058,1.4681,1.4681
14.584763,5.777420,1.4780,1.4780
14.573348,5.827797,1.4980,1.4980
14.561126,5.878091,1.5280,1.5280
14.548168,5.928222,1.4980,1.4980
14.533564,5.977241,1.5280,1.5280
14.517281,6.026056,1.5378,1.5378
14.499285,6.074592,1.5281,1.5281
14.480531,6.121906,1.5583,1.5583
14.460125,6.168911,1.5884,1.5884
14.438047,6.215538,1.5788,1.5788
14.414277,6.261721,1.6089,1.6089
14.389784,6.307395,1.5992,1.5992
14.363689,6.352501,1.6294,1.6294
14.335984,6.396110,1.5895,1.5895
14.306666,6.439148,1.6197,1.6197
14.276717,6.481561,1.6100,1.6100
14.245271,6.523297,1.6100,1.6100
14.212336,6.564306,1.6498,1.6498
14.177921,6.604541,1.6498,1.6498
14.142040,6.643089,1.6100,1.6100
14.105691,6.680890,1.6498,1.6498
14.068027,6.717903,1.6595,1.6595
14.029071,6.754091,1.6692,1.6692
13.988850,6.788547,1.6391,1.6391
13.947393,6.822221,1.6488,1.6488
13.904734,6.855081,1.6886,1.6886
13.861892,6.887096,1.6584,1.6584
13.818037,6.917371,1.6681,1.6681
13.773214,6.946862,1.6380,1.6380
13.727470,6.975545,1.6477,1.6477
13.680853,7.003400,1.6197,1.6197
13.633415,7.029538,1.6295,1.6295
13.585213,7.054925,1.5894,1.5894
13.537288,7.079545,1.5992,1.5992
13.488834,7.103386,1.5500,1.5500
13.439916,7.126438,1.5598,1.5598
13.389621,7.148694,1.5697,1.5697
13.338887,7.170149,1.5295,1.5295
13.287785,7.189933,1.5394,1.5394
13.236392,7.209027,1.4992,1.4992
13.184785,7.227435,1.5000,1.5000
13.133043,7.245159,1.5000,1.5000
13.080267,7.262207,1.4598,1.4598
13.027409,7.277718,1.4697,1.4697
12.974555,7.292688,1.4795,1.4795
12.921795,7.307128,1.4394,1.4394
12.869220,7.320185,1.4492,1.4492
12.815941,7.332857,1.4500,1.4500
12.762921,7.345164,1.4598,1.4598
12.710259,7.357127,1.4197,1.4197
12.658055,7.367900,1.4295,1.4295
12.606412,7.378490,1.4394,1.4394
12.554451,7.388926,1.4492,1.4492
12.503149,7.399236,1.4500,1.4500
12.451629,7.409453,1.4000,1.4000
12.400870,7.419613,1.4098,1.4098
12.350000,7.428883,1.4295,1.4295
12.300000,7.438286,1.4394,1.4394
12.250000,7.447863,1.4492,1.4492
12.200000,7.457658,1.4000,1.4000
12.150000,7.467717,1.4098,1.4098
12.100000,7.478090,1.4197,1.4197
12.050000,7.486974,1.4295,1.4295
12.000000,7.496273,1.4394,1.4394
11.950000,7.506041,1.3992,1.3992
11.900000,7.515346,1.4000,1.4000
11.850000,7.524245,1.4000,1.4000
11.800000,7.533777,1.4098,1.4098
11.750000,7.543015,1.4197,1.4197
11.700000,7.552887,1.3795,1.3795
11.650000,7.561600,1.3894,1.3894
11.600000,7.571066,1.3992,1.3992
11.550000,7.581345,1.4000,1.4000
11.500000,7.591517,1.4098,1.4098
11.450000,7.601531,1.3697,1.3697
11.400000,7.611451,1.3795,1.3795
11.350000,7.621339,1.3894,1.3894
11.300000,7.631145,1.3992,1.3992
11.250000,7.641803,1.4000,1.4000
11.200000,7.652395,1.3500,1.3500
11.150000,7.662872,1.3598,1.3598
11.100000,7.673187,1.3697,1.3697
11.050000,7.683406,1.3795,1.3795
11.000000,7.693595,1.3881,1.3881
10.950000,7.703707,1.3492,1.3492
10.900000,7.714678,1.3500,1.3500
10.850000,7.724721,1.3598,1.3598
10.800000,7.734775,1.3697,1.3697
10.750000,7.745775,1.3681,1.3681
10.700000,7.755936,1.3394,1.3394
10.650000,7.766195,1.3492,1.3492
10.600000,7.776503,1.3500,1.3500
10.550000,7.786812,1.3500,1.3500
10.500000,7.796205,1.3583,1.3583
10.450000,7.806599,1.3197,1.3197
10.400000,7.817076,1.3295,1.3295
10.350000,7.826718,1.3394,1.3394
10.300000,7.836460,1.3484,1.3484
10.250000,7.845379,1.3386,1.3386
10.200000,7.854407,1.3000,1.3000
10.150000,7.863604,1.3098,1.3098
10.100000,7.873032,1.3197,1.3197
10.050000,7.882636,1.3295,1.3295
10.000000,7.891493,1.3181,1.3181
9.950000,7.901515,1.2992,1.2992
9.900000,7.910908,1.3091,1.3091
9.850000,7.919731,1.3189,1.3189
9.800000,7.928908,1.3181,1.3181
9.750000,7.938495,1.3083,1.3083
9.700000,7.947676,1.2984,1.2984
9.650000,7.956503,1.3083,1.3083
9.599130,7.965027,1.3083,1.3083
9.548371,7.974278,1.2984,1.2984
9.497721,7.983433,1.2886,1.2886
9.446307,7.992535,1.2783,1.2783
9.395108,8.001626,1.3083,1.3083
9.344117,8.010743,1.2984,1.2984
9.292460,8.019922,1.2886,1.2886
9.241112,8.029196,1.2783,1.2783
9.190065,8.039577,1.2583,1.2583
9.138440,8.050227,1.2984,1.2984
9.087210,8.061172,1.2783,1.2783
9.035494,8.072436,1.2583,1.2583
8.984263,8.084039,1.2484,1.2484
8.933502,8.096986,1.2386,1.2386
8.882327,8.110424,1.2783,1.2783
8.831705,8.124368,1.2583,1.2583
8.781620,8.139816,1.2484,1.2484
8.731185,8.155911,1.2886,1.2886
8.681363,8.172662,1.2783,1.2783
8.631267,8.190077,1.2583,1.2583
8.581856,8.209143,1.2984,1.2984
8.533109,8.228996,1.2886,1.2886
8.484133,8.249637,1.2783,1.2783
8.435017,8.271064,1.3083,1.3083
8.386717,8.293273,1.2984,1.2984
8.338335,8.316257,1.3181,1.3181
8.289954,8.340990,1.3083,1.3083
8.241655,8.366594,1.3484,1.3484
8.192645,8.393054,1.3386,1.3386
8.143981,8.420355,1.3681,1.3681
8.094861,8.448479,1.3583,1.3583
8.046334,8.477405,1.3984,1.3984
7.998461,8.508094,1.4280,1.4280
7.950429,8.539650,1.4280,1.4280
7.903275,8.572048,1.4681,1.4681
7.856178,8.605258,1.4980,1.4980
7.810167,8.640231,1.4780,1.4780
7.764412,8.676066,1.5181,1.5181
7.719934,8.712726,1.5583,1.5583
7.675894,8.750174,1.5878,1.5878
7.633305,8.789353,1.5780,1.5780
7.591319,8.829353,1.6181,1.6181
7.550939,8.870128,1.6380,1.6380
7.511312,8.911634,1.6477,1.6477
7.473432,8.953820,1.6778,1.6778
7.436434,8.997618,1.7177,1.7177
7.400436,9.042107,1.6977,1.6977
7.365548,9.087231,1.7378,1.7378
7.332743,9.132932,1.7780,1.7780
7.301140,9.179150,1.7681,1.7681
7.270833,9.225821,1.8083,1.8083
7.241914,9.272878,1.8484,1.8484
7.214468,9.321238,1.8386,1.8386
7.188573,9.369960,1.8788,1.8788
7.164302,9.419843,1.8689,1.8689
7.141725,9.470700,1.9091,1.9091
7.120902,9.522459,1.8992,1.8992
7.101890,9.575049,1.8894,1.8894
7.084740,9.628283,1.9295,1.9295
7.069497,9.682088,1.9197,1.9197
7.056201,9.736394,1.9098,1.9098
7.044886,9.790143,1.9500,1.9500
7.035579,9.844130,1.9500,1.9500
7.028304,9.899152,1.9500,1.9500
7.023078,9.954151,1.9500,1.9500
7.019911,10.008941,1.9500,1.9500
7.018810,10.063450,1.9500,1.9500
7.019774,10.117605,1.9598,1.9598
7.022797,10.172206,1.9697,1.9697
7.027869,10.226199,1.9795,1.9795
7.034973,10.279513,1.9894,1.9894
7.044085,10.332081,1.9992,1.9992
7.055178,10.383718,1.9591,1.9591
7.068218,10.435225,1.9689,1.9689
7.083165,10.485552,1.9788,1.9788
7.099974,10.535502,1.9886,1.9886
7.118594,10.585011,1.9484,1.9484
7.138969,10.633036,1.9583,1.9583
7.161037,10.680384,1.9181,1.9181
7.184729,10.726998,1.9280,1.9280
7.209972,10.771953,1.8878,1.8878
7.237673,10.816178,1.8977,1.8977
7.266878,10.859620,1.8575,1.8575
7.297500,10.902232,1.8500,1.8500
7.330431,10.943965,1.8275,1.8275
7.364704,10.984777,1.8000,1.8000
7.400218,11.024626,1.7500,1.7500
7.437850,11.063474,1.7000,1.7000
7.476620,11.101286,1.6598,1.6598
7.516411,11.138029,1.6697,1.6697
7.558087,11.173673,1.6295,1.6295
7.600654,11.208193,1.5894,1.5894
7.644965,11.241563,1.5894,1.5894
